source,target,interaction_freq,last_interaction
0,317,125,2023-08-31 00:00:00
0,158,414,2023-07-28 00:00:00
0,38,217,2023-07-30 00:00:00
0,302,345,2023-12-01 00:00:00
0,27,331,2023-02-20 00:00:00
0,54,32,2023-07-26 00:00:00
0,139,410,2023-02-25 00:00:00
0,109,128,2023-04-09 00:00:00
0,291,217,2023-04-04 00:00:00
0,142,128,2023-02-08 00:00:00
0,203,334,2023-10-04 00:00:00
0,105,497,2023-02-17 00:00:00
0,232,86,2023-07-28 00:00:00
0,64,110,2023-07-25 00:00:00
0,217,463,2023-01-31 00:00:00
0,248,136,2023-08-21 00:00:00
0,126,339,2023-09-07 00:00:00
0,224,80,2023-04-08 00:00:00
0,261,152,2023-04-22 00:00:00
0,283,496,2023-01-30 00:00:00
0,144,32,2023-06-10 00:00:00
0,226,30,2023-01-26 00:00:00
0,290,81,2023-01-30 00:00:00
0,25,492,2023-09-18 00:00:00
0,342,36,2023-11-01 00:00:00
0,146,483,2023-10-19 00:00:00
0,300,127,2023-10-24 00:00:00
0,94,305,2023-01-21 00:00:00
0,1,268,2023-06-11 00:00:00
0,184,479,2023-05-14 00:00:00
0,159,105,2023-12-09 00:00:00
0,149,154,2023-08-23 00:00:00
0,13,276,2023-04-20 00:00:00
0,59,451,2023-05-06 00:00:00
0,17,427,2023-10-06 00:00:00
0,326,361,2023-06-04 00:00:00
0,80,314,2023-12-01 00:00:00
0,187,271,2023-01-05 00:00:00
0,161,456,2023-02-24 00:00:00
0,66,259,2023-09-08 00:00:00
0,31,48,2023-11-21 00:00:00
0,136,217,2023-05-22 00:00:00
0,7,23,2023-01-02 00:00:00
0,255,83,2023-08-15 00:00:00
0,49,283,2023-12-28 00:00:00
0,320,5,2023-02-27 00:00:00
0,85,463,2023-03-18 00:00:00
0,246,280,2023-01-19 00:00:00
0,123,400,2023-10-14 00:00:00
0,284,378,2023-06-20 00:00:00
0,140,411,2023-12-09 00:00:00
0,137,443,2023-05-08 00:00:00
0,343,56,2023-07-15 00:00:00
0,115,447,2023-01-20 00:00:00
0,297,421,2023-04-27 00:00:00
0,185,348,2023-10-02 00:00:00
0,104,306,2023-08-11 00:00:00
0,324,23,2023-12-29 00:00:00
0,171,340,2023-03-05 00:00:00
0,111,403,2023-10-24 00:00:00
0,14,165,2023-08-27 00:00:00
0,310,346,2023-04-20 00:00:00
0,32,262,2023-08-31 00:00:00
0,30,338,2023-02-13 00:00:00
0,222,340,2023-11-21 00:00:00
0,92,318,2023-06-21 00:00:00
0,72,345,2023-06-08 00:00:00
0,40,116,2023-04-12 00:00:00
0,125,244,2023-11-09 00:00:00
0,266,205,2023-05-05 00:00:00
0,212,113,2023-04-01 00:00:00
0,278,250,2023-04-23 00:00:00
0,340,471,2023-03-07 00:00:00
0,237,340,2023-01-14 00:00:00
0,311,43,2023-11-26 00:00:00
0,309,444,2023-08-25 00:00:00
0,330,134,2023-07-14 00:00:00
0,230,233,2023-06-17 00:00:00
0,70,173,2023-07-14 00:00:00
0,16,103,2023-01-11 00:00:00
0,249,59,2023-10-16 00:00:00
0,39,239,2023-12-25 00:00:00
0,251,326,2023-08-24 00:00:00
0,10,223,2023-04-01 00:00:00
0,55,414,2023-10-03 00:00:00
0,228,138,2023-06-15 00:00:00
0,69,125,2023-08-26 00:00:00
0,113,254,2023-06-16 00:00:00
0,258,285,2023-01-06 00:00:00
0,257,265,2023-04-08 00:00:00
0,196,298,2023-07-08 00:00:00
0,156,111,2023-09-05 00:00:00
0,303,358,2023-03-06 00:00:00
0,286,130,2023-09-02 00:00:00
0,81,59,2023-02-03 00:00:00
0,174,392,2023-08-02 00:00:00
0,293,311,2023-11-02 00:00:00
0,33,405,2023-11-13 00:00:00
0,42,116,2023-09-25 00:00:00
0,347,486,2023-04-17 00:00:00
0,2,81,2023-01-02 00:00:00
0,281,412,2023-04-12 00:00:00
0,263,85,2023-06-07 00:00:00
0,279,42,2023-11-03 00:00:00
0,51,392,2023-12-11 00:00:00
0,338,470,2023-05-23 00:00:00
0,162,241,2023-06-28 00:00:00
0,19,312,2023-05-03 00:00:00
0,75,391,2023-10-06 00:00:00
0,218,120,2023-07-30 00:00:00
0,268,362,2023-07-15 00:00:00
0,314,198,2023-12-06 00:00:00
0,5,8,2023-03-15 00:00:00
0,178,355,2023-07-23 00:00:00
0,192,321,2023-09-07 00:00:00
0,243,356,2023-06-03 00:00:00
0,195,468,2023-10-26 00:00:00
0,181,74,2023-04-29 00:00:00
0,8,237,2023-11-23 00:00:00
0,245,131,2023-08-24 00:00:00
0,129,301,2023-06-03 00:00:00
0,328,196,2023-10-20 00:00:00
0,331,349,2023-03-12 00:00:00
0,150,449,2023-07-07 00:00:00
0,101,468,2023-05-20 00:00:00
0,99,441,2023-12-13 00:00:00
0,296,371,2023-12-12 00:00:00
0,102,8,2023-05-16 00:00:00
0,318,328,2023-11-02 00:00:00
0,163,106,2023-02-05 00:00:00
0,173,425,2023-10-11 00:00:00
0,165,67,2023-10-04 00:00:00
0,121,129,2023-03-31 00:00:00
0,306,9,2023-03-31 00:00:00
0,177,485,2023-11-11 00:00:00
0,180,267,2023-06-04 00:00:00
0,87,233,2023-09-16 00:00:00
0,189,221,2023-08-20 00:00:00
0,60,426,2023-02-13 00:00:00
0,259,211,2023-07-01 00:00:00
0,45,370,2023-06-16 00:00:00
0,58,342,2023-06-07 00:00:00
0,269,24,2023-04-23 00:00:00
0,167,236,2023-12-20 00:00:00
0,227,325,2023-02-28 00:00:00
0,96,309,2023-03-20 00:00:00
0,91,390,2023-12-02 00:00:00
0,143,488,2023-11-18 00:00:00
0,61,181,2023-09-17 00:00:00
0,93,259,2023-11-27 00:00:00
0,41,187,2023-07-10 00:00:00
0,235,146,2023-05-10 00:00:00
0,6,494,2023-11-05 00:00:00
0,89,448,2023-03-18 00:00:00
0,107,299,2023-12-06 00:00:00
0,79,481,2023-02-13 00:00:00
0,208,433,2023-02-21 00:00:00
0,132,415,2023-03-26 00:00:00
0,221,23,2023-07-30 00:00:00
0,301,386,2023-08-18 00:00:00
0,250,477,2023-01-14 00:00:00
0,106,203,2023-09-15 00:00:00
0,29,192,2023-05-01 00:00:00
0,337,147,2023-08-30 00:00:00
0,100,130,2023-01-09 00:00:00
0,110,177,2023-05-04 00:00:00
0,264,376,2023-12-03 00:00:00
0,225,444,2023-12-02 00:00:00
0,86,170,2023-05-20 00:00:00
0,152,309,2023-04-03 00:00:00
0,148,82,2023-01-16 00:00:00
0,295,399,2023-11-27 00:00:00
0,201,327,2023-03-31 00:00:00
0,289,204,2023-09-03 00:00:00
0,260,450,2023-10-10 00:00:00
0,160,328,2023-10-28 00:00:00
0,321,321,2023-06-05 00:00:00
0,68,495,2023-05-04 00:00:00
0,131,100,2023-07-05 00:00:00
0,22,202,2023-07-11 00:00:00
0,298,76,2023-12-15 00:00:00
0,262,396,2023-12-15 00:00:00
0,220,330,2023-12-21 00:00:00
0,234,71,2023-02-25 00:00:00
0,44,476,2023-03-22 00:00:00
0,50,479,2023-01-19 00:00:00
0,193,291,2023-12-12 00:00:00
0,97,480,2023-05-08 00:00:00
0,124,263,2023-08-01 00:00:00
0,112,237,2023-12-11 00:00:00
0,90,152,2023-03-20 00:00:00
0,179,101,2023-06-18 00:00:00
0,216,152,2023-05-07 00:00:00
0,151,402,2023-06-16 00:00:00
0,145,248,2023-02-09 00:00:00
0,157,130,2023-12-04 00:00:00
0,4,495,2023-08-09 00:00:00
0,327,286,2023-10-25 00:00:00
0,95,353,2023-10-22 00:00:00
0,120,283,2023-03-23 00:00:00
0,247,170,2023-10-14 00:00:00
0,190,276,2023-11-12 00:00:00
0,282,322,2023-02-09 00:00:00
0,244,255,2023-08-22 00:00:00
0,319,498,2023-03-14 00:00:00
0,233,120,2023-03-23 00:00:00
0,256,52,2023-05-07 00:00:00
0,166,44,2023-12-09 00:00:00
0,202,177,2023-10-05 00:00:00
0,155,361,2023-04-12 00:00:00
0,191,15,2023-07-17 00:00:00
0,147,431,2023-12-03 00:00:00
0,206,191,2023-06-25 00:00:00
0,229,467,2023-10-30 00:00:00
0,138,313,2023-04-11 00:00:00
0,164,24,2023-11-21 00:00:00
0,240,122,2023-09-19 00:00:00
0,77,55,2023-05-29 00:00:00
0,219,440,2023-03-13 00:00:00
0,305,21,2023-11-29 00:00:00
0,153,328,2023-06-22 00:00:00
0,154,67,2023-03-11 00:00:00
0,198,445,2023-11-29 00:00:00
0,182,354,2023-09-22 00:00:00
0,336,347,2023-03-09 00:00:00
0,241,36,2023-11-03 00:00:00
0,294,112,2023-11-11 00:00:00
0,253,465,2023-11-13 00:00:00
0,267,322,2023-06-04 00:00:00
0,316,117,2023-06-07 00:00:00
0,205,321,2023-04-28 00:00:00
0,47,326,2023-08-14 00:00:00
0,183,299,2023-01-03 00:00:00
0,52,243,2023-01-17 00:00:00
0,34,497,2023-07-11 00:00:00
0,35,211,2023-03-05 00:00:00
107,953,16,2023-11-29 00:00:00
107,1323,476,2023-09-11 00:00:00
107,1789,374,2023-03-03 00:00:00
107,1707,170,2023-02-15 00:00:00
107,1175,49,2023-07-26 00:00:00
107,1059,294,2023-12-25 00:00:00
107,1329,486,2023-12-17 00:00:00
107,1559,199,2023-07-28 00:00:00
107,1804,196,2023-12-23 00:00:00
107,1898,243,2023-03-12 00:00:00
107,1622,434,2023-06-25 00:00:00
107,1520,94,2023-02-19 00:00:00
107,1200,160,2023-07-01 00:00:00
107,1202,91,2023-12-29 00:00:00
107,1449,221,2023-05-10 00:00:00
107,1836,256,2023-02-16 00:00:00
107,1156,95,2023-05-14 00:00:00
107,1605,206,2023-04-13 00:00:00
107,1149,117,2023-06-29 00:00:00
107,1173,42,2023-06-23 00:00:00
107,1180,232,2023-02-18 00:00:00
107,1549,269,2023-05-12 00:00:00
107,1412,11,2023-11-07 00:00:00
107,1638,32,2023-10-13 00:00:00
107,942,31,2023-12-16 00:00:00
107,1448,192,2023-02-18 00:00:00
107,1786,87,2023-01-01 00:00:00
107,1768,494,2023-09-28 00:00:00
107,1092,7,2023-01-03 00:00:00
107,927,168,2023-07-16 00:00:00
107,1791,157,2023-01-15 00:00:00
107,1287,410,2023-10-18 00:00:00
107,1516,289,2023-07-11 00:00:00
107,1044,440,2023-02-05 00:00:00
107,1235,490,2023-03-30 00:00:00
107,1100,97,2023-11-22 00:00:00
107,1279,318,2023-09-13 00:00:00
107,1366,94,2023-10-02 00:00:00
107,1472,112,2023-06-26 00:00:00
107,1374,50,2023-12-16 00:00:00
107,483,468,2023-03-21 00:00:00
107,1610,294,2023-04-01 00:00:00
107,1021,457,2023-08-14 00:00:00
107,1322,362,2023-04-01 00:00:00
107,923,260,2023-03-18 00:00:00
107,1505,417,2023-08-16 00:00:00
107,1761,16,2023-11-15 00:00:00
107,1566,20,2023-10-03 00:00:00
107,1211,455,2023-03-03 00:00:00
107,1835,414,2023-06-09 00:00:00
107,896,479,2023-05-30 00:00:00
107,1479,56,2023-06-28 00:00:00
107,1215,303,2023-09-23 00:00:00
107,1199,86,2023-02-21 00:00:00
107,1539,255,2023-04-09 00:00:00
107,1153,309,2023-03-21 00:00:00
107,1796,314,2023-06-22 00:00:00
107,1355,481,2023-08-21 00:00:00
107,1236,476,2023-12-04 00:00:00
107,1899,281,2023-07-19 00:00:00
107,1884,402,2023-08-18 00:00:00
107,1425,484,2023-03-01 00:00:00
107,475,343,2023-10-11 00:00:00
107,1298,34,2023-06-23 00:00:00
107,366,73,2023-05-03 00:00:00
107,930,492,2023-09-09 00:00:00
107,1230,97,2023-07-26 00:00:00
107,1621,22,2023-07-03 00:00:00
107,1437,31,2023-09-03 00:00:00
107,1337,416,2023-12-04 00:00:00
107,1801,363,2023-10-30 00:00:00
107,1695,51,2023-09-24 00:00:00
107,1795,47,2023-12-06 00:00:00
107,1839,336,2023-06-14 00:00:00
107,1632,467,2023-09-27 00:00:00
107,1370,268,2023-07-21 00:00:00
107,1340,330,2023-04-13 00:00:00
107,1871,391,2023-04-12 00:00:00
107,954,150,2023-11-17 00:00:00
107,1718,219,2023-07-26 00:00:00
107,1846,223,2023-07-13 00:00:00
107,1582,43,2023-09-09 00:00:00
107,1438,288,2023-09-05 00:00:00
107,1060,313,2023-07-19 00:00:00
107,1859,157,2023-09-12 00:00:00
107,1816,403,2023-05-28 00:00:00
107,1619,395,2023-12-17 00:00:00
107,1431,358,2023-01-29 00:00:00
107,1734,271,2023-01-22 00:00:00
107,944,383,2023-10-20 00:00:00
107,1428,278,2023-03-30 00:00:00
107,1097,329,2023-06-10 00:00:00
107,958,379,2023-01-25 00:00:00
107,1488,274,2023-01-15 00:00:00
107,1471,25,2023-06-05 00:00:00
107,1613,198,2023-04-07 00:00:00
107,1250,181,2023-10-03 00:00:00
107,1833,27,2023-12-17 00:00:00
107,1085,379,2023-09-18 00:00:00
107,1518,269,2023-04-02 00:00:00
107,1163,261,2023-07-09 00:00:00
107,1040,349,2023-12-24 00:00:00
107,1900,23,2023-04-20 00:00:00
107,1819,487,2023-04-06 00:00:00
107,1557,457,2023-04-24 00:00:00
107,1864,365,2023-06-13 00:00:00
107,1754,254,2023-04-16 00:00:00
107,1813,314,2023-01-08 00:00:00
107,1135,24,2023-07-15 00:00:00
107,908,106,2023-12-19 00:00:00
107,1537,60,2023-05-29 00:00:00
107,1612,3,2023-05-04 00:00:00
107,1652,338,2023-06-19 00:00:00
107,1389,91,2023-07-19 00:00:00
107,1740,191,2023-07-25 00:00:00
107,1122,23,2023-03-21 00:00:00
107,1352,127,2023-11-15 00:00:00
107,1483,343,2023-05-13 00:00:00
107,959,452,2023-08-05 00:00:00
107,1569,349,2023-10-20 00:00:00
107,1903,364,2023-11-17 00:00:00
107,641,159,2023-04-15 00:00:00
107,1625,482,2023-12-01 00:00:00
107,1444,6,2023-08-01 00:00:00
107,1876,422,2023-07-31 00:00:00
107,1192,194,2023-05-23 00:00:00
107,1129,432,2023-04-08 00:00:00
107,1078,419,2023-09-07 00:00:00
107,1420,130,2023-11-04 00:00:00
107,1360,6,2023-11-17 00:00:00
107,1579,355,2023-07-22 00:00:00
107,1794,22,2023-12-23 00:00:00
107,1334,393,2023-08-18 00:00:00
107,1716,66,2023-12-06 00:00:00
107,1765,37,2023-11-23 00:00:00
107,1703,275,2023-06-17 00:00:00
107,1686,86,2023-05-12 00:00:00
107,924,490,2023-12-15 00:00:00
107,1260,367,2023-12-22 00:00:00
107,1285,204,2023-05-26 00:00:00
107,916,275,2023-05-27 00:00:00
107,1714,146,2023-10-19 00:00:00
107,952,134,2023-02-25 00:00:00
107,1332,390,2023-03-03 00:00:00
107,1210,203,2023-04-14 00:00:00
107,1459,487,2023-02-14 00:00:00
107,1680,285,2023-09-12 00:00:00
107,1222,103,2023-03-07 00:00:00
107,1124,266,2023-01-19 00:00:00
107,1399,241,2023-09-03 00:00:00
107,1377,56,2023-02-27 00:00:00
107,975,118,2023-01-20 00:00:00
107,1256,95,2023-02-12 00:00:00
107,926,391,2023-12-22 00:00:00
107,1345,316,2023-07-09 00:00:00
107,1126,227,2023-11-02 00:00:00
107,1596,340,2023-09-15 00:00:00
107,1432,393,2023-04-07 00:00:00
107,1414,372,2023-06-12 00:00:00
107,1752,23,2023-10-19 00:00:00
107,1344,8,2023-03-20 00:00:00
107,1402,175,2023-05-09 00:00:00
107,1101,472,2023-03-31 00:00:00
107,1837,180,2023-08-25 00:00:00
107,1424,103,2023-11-26 00:00:00
107,1730,29,2023-07-20 00:00:00
107,1074,195,2023-03-20 00:00:00
107,980,485,2023-05-30 00:00:00
107,1341,116,2023-04-05 00:00:00
107,1868,172,2023-12-03 00:00:00
107,1086,13,2023-08-14 00:00:00
107,1391,36,2023-05-06 00:00:00
107,1771,309,2023-09-28 00:00:00
107,1685,148,2023-10-13 00:00:00
107,1039,83,2023-03-15 00:00:00
107,1081,210,2023-09-23 00:00:00
107,1003,371,2023-06-14 00:00:00
107,1823,74,2023-02-23 00:00:00
107,1191,2,2023-10-16 00:00:00
107,1721,394,2023-10-18 00:00:00
107,1584,62,2023-04-25 00:00:00
107,1832,391,2023-11-18 00:00:00
107,1083,19,2023-10-16 00:00:00
107,1317,280,2023-02-07 00:00:00
107,929,11,2023-11-29 00:00:00
107,946,422,2023-09-01 00:00:00
107,960,480,2023-10-20 00:00:00
107,1380,331,2023-07-17 00:00:00
107,1662,145,2023-12-18 00:00:00
107,1689,316,2023-07-18 00:00:00
107,932,350,2023-09-09 00:00:00
107,1238,314,2023-05-09 00:00:00
107,1608,177,2023-11-22 00:00:00
107,997,233,2023-09-03 00:00:00
107,1530,451,2023-07-04 00:00:00
107,1583,147,2023-11-23 00:00:00
107,1099,375,2023-03-31 00:00:00
107,1291,494,2023-07-18 00:00:00
107,1741,132,2023-03-24 00:00:00
107,921,364,2023-10-05 00:00:00
107,1735,437,2023-04-27 00:00:00
107,1473,181,2023-04-17 00:00:00
107,1064,483,2023-07-27 00:00:00
107,1760,228,2023-07-18 00:00:00
107,1070,238,2023-07-06 00:00:00
107,1132,173,2023-06-16 00:00:00
107,1367,341,2023-07-24 00:00:00
107,1251,112,2023-12-31 00:00:00
107,1307,98,2023-10-19 00:00:00
107,1724,100,2023-12-04 00:00:00
107,1302,187,2023-08-26 00:00:00
107,1014,192,2023-11-26 00:00:00
107,1108,158,2023-04-20 00:00:00
107,1528,241,2023-02-25 00:00:00
107,1336,278,2023-11-30 00:00:00
107,1547,232,2023-06-03 00:00:00
107,1573,464,2023-11-16 00:00:00
107,988,212,2023-01-27 00:00:00
107,1663,103,2023-04-22 00:00:00
107,1290,173,2023-10-10 00:00:00
107,1705,456,2023-03-22 00:00:00
107,1187,338,2023-07-16 00:00:00
107,1190,480,2023-09-22 00:00:00
107,1436,483,2023-08-15 00:00:00
107,1881,13,2023-12-22 00:00:00
107,1799,106,2023-07-17 00:00:00
107,1688,89,2023-05-20 00:00:00
107,1515,295,2023-04-12 00:00:00
107,898,78,2023-07-30 00:00:00
107,1328,163,2023-08-28 00:00:00
107,1511,126,2023-03-08 00:00:00
107,1587,162,2023-11-09 00:00:00
107,1331,272,2023-11-18 00:00:00
107,1423,449,2023-01-19 00:00:00
107,1872,347,2023-02-19 00:00:00
107,1842,44,2023-01-11 00:00:00
107,1782,5,2023-01-28 00:00:00
107,1213,161,2023-07-02 00:00:00
107,1005,104,2023-03-19 00:00:00
107,1502,491,2023-04-20 00:00:00
107,1636,158,2023-02-03 00:00:00
107,1750,186,2023-11-16 00:00:00
107,991,466,2023-06-11 00:00:00
107,1604,299,2023-08-17 00:00:00
107,1497,244,2023-06-23 00:00:00
107,1376,149,2023-06-05 00:00:00
107,1166,52,2023-10-15 00:00:00
107,1793,467,2023-11-13 00:00:00
107,1857,322,2023-08-29 00:00:00
107,1026,354,2023-05-08 00:00:00
107,1018,340,2023-03-17 00:00:00
107,1600,466,2023-08-16 00:00:00
107,526,50,2023-01-21 00:00:00
107,1117,243,2023-07-14 00:00:00
107,1054,301,2023-12-19 00:00:00
107,1540,419,2023-07-05 00:00:00
107,1643,477,2023-08-14 00:00:00
107,1184,300,2023-10-20 00:00:00
107,1551,458,2023-01-11 00:00:00
107,1004,485,2023-12-10 00:00:00
107,1849,291,2023-06-26 00:00:00
107,1746,36,2023-04-01 00:00:00
107,1305,70,2023-11-16 00:00:00
107,1114,202,2023-03-18 00:00:00
107,1487,57,2023-12-09 00:00:00
107,1687,101,2023-11-21 00:00:00
107,1593,165,2023-05-30 00:00:00
107,1777,365,2023-02-12 00:00:00
107,563,182,2023-11-05 00:00:00
107,1478,457,2023-10-30 00:00:00
107,1743,214,2023-03-28 00:00:00
107,1609,187,2023-05-10 00:00:00
107,1460,463,2023-01-13 00:00:00
107,1139,251,2023-06-13 00:00:00
107,1219,27,2023-11-29 00:00:00
107,1080,157,2023-05-15 00:00:00
107,353,230,2023-08-10 00:00:00
107,1542,173,2023-01-21 00:00:00
107,1717,140,2023-12-03 00:00:00
107,1675,235,2023-12-04 00:00:00
107,1347,67,2023-11-16 00:00:00
107,1820,172,2023-07-07 00:00:00
107,1508,412,2023-09-20 00:00:00
107,1882,438,2023-08-06 00:00:00
107,914,209,2023-12-29 00:00:00
107,1041,176,2023-03-09 00:00:00
107,1496,483,2023-06-27 00:00:00
107,1228,283,2023-04-09 00:00:00
107,1024,251,2023-05-25 00:00:00
107,1390,471,2023-12-10 00:00:00
107,1648,44,2023-12-08 00:00:00
107,1232,468,2023-06-13 00:00:00
107,1342,459,2023-02-28 00:00:00
107,1886,12,2023-03-07 00:00:00
107,1800,413,2023-02-24 00:00:00
107,1098,91,2023-07-11 00:00:00
107,1802,399,2023-02-14 00:00:00
107,1629,443,2023-02-08 00:00:00
107,1554,5,2023-01-07 00:00:00
107,947,299,2023-11-17 00:00:00
107,1028,324,2023-06-19 00:00:00
107,1757,403,2023-12-07 00:00:00
107,1243,55,2023-11-10 00:00:00
107,978,63,2023-01-29 00:00:00
107,993,96,2023-02-16 00:00:00
107,1753,120,2023-04-18 00:00:00
107,1361,26,2023-02-10 00:00:00
107,1783,99,2023-09-01 00:00:00
107,1469,419,2023-04-12 00:00:00
107,1172,310,2023-12-28 00:00:00
107,1011,96,2023-08-29 00:00:00
107,1072,148,2023-12-13 00:00:00
107,1242,227,2023-04-05 00:00:00
107,925,260,2023-01-04 00:00:00
107,897,435,2023-06-14 00:00:00
107,1207,388,2023-04-27 00:00:00
107,1809,84,2023-07-22 00:00:00
107,1435,326,2023-10-31 00:00:00
107,1492,152,2023-11-04 00:00:00
107,1509,212,2023-09-17 00:00:00
107,1079,272,2023-01-04 00:00:00
107,1181,129,2023-05-25 00:00:00
107,1615,387,2023-03-24 00:00:00
107,1433,34,2023-02-01 00:00:00
107,1617,177,2023-01-31 00:00:00
107,1589,318,2023-08-09 00:00:00
107,1467,392,2023-08-17 00:00:00
107,1404,302,2023-07-05 00:00:00
107,1522,358,2023-12-15 00:00:00
107,1489,492,2023-02-03 00:00:00
107,1495,292,2023-05-15 00:00:00
107,1669,373,2023-06-13 00:00:00
107,957,381,2023-09-03 00:00:00
107,1158,190,2023-09-13 00:00:00
107,1570,154,2023-09-08 00:00:00
107,1485,354,2023-06-30 00:00:00
107,1020,167,2023-07-26 00:00:00
107,1066,238,2023-08-26 00:00:00
107,1348,232,2023-03-20 00:00:00
107,1630,73,2023-07-17 00:00:00
107,1415,215,2023-01-13 00:00:00
107,949,448,2023-03-13 00:00:00
107,1815,196,2023-11-20 00:00:00
107,968,77,2023-07-24 00:00:00
107,999,188,2023-01-08 00:00:00
107,996,464,2023-03-30 00:00:00
107,629,485,2023-04-05 00:00:00
107,1185,9,2023-07-20 00:00:00
107,1826,102,2023-01-12 00:00:00
107,1692,82,2023-06-05 00:00:00
107,566,425,2023-10-09 00:00:00
107,1447,98,2023-09-07 00:00:00
107,1067,311,2023-09-13 00:00:00
107,1532,486,2023-03-23 00:00:00
107,1491,250,2023-12-07 00:00:00
107,1727,31,2023-06-30 00:00:00
107,1418,493,2023-02-24 00:00:00
107,1167,35,2023-06-15 00:00:00
107,1246,362,2023-09-02 00:00:00
107,1107,312,2023-05-29 00:00:00
107,1115,412,2023-04-21 00:00:00
107,1645,214,2023-09-09 00:00:00
107,1400,7,2023-06-07 00:00:00
107,1529,324,2023-03-23 00:00:00
107,596,160,2023-12-17 00:00:00
107,1408,314,2023-03-04 00:00:00
107,915,307,2023-03-08 00:00:00
107,1112,272,2023-05-25 00:00:00
107,1620,175,2023-07-11 00:00:00
107,1588,190,2023-10-17 00:00:00
107,1719,497,2023-08-31 00:00:00
107,1381,466,2023-06-10 00:00:00
107,1043,325,2023-09-01 00:00:00
107,955,403,2023-05-24 00:00:00
107,1682,296,2023-06-19 00:00:00
107,1524,358,2023-04-10 00:00:00
107,1888,401,2023-11-20 00:00:00
107,1907,363,2023-10-31 00:00:00
107,1766,251,2023-10-16 00:00:00
107,1870,241,2023-01-10 00:00:00
107,1231,161,2023-09-19 00:00:00
107,1571,115,2023-11-21 00:00:00
107,905,2,2023-06-17 00:00:00
107,1536,183,2023-11-14 00:00:00
